title,description,categories
The Death of Ivan Ilych,"Here are some of Tolstoy's extraordinary short stories, from -The Death of Ivan Ilyich—in a masterly new translation-to -The Raid,- -The Wood-felling,- -Three Deaths,- -Polikushka,- -After the Ball,- and -The Forged Coupon,- all gripping and eloquent lessons on two of Tolstoy's most persistent themes: life and death. More experimental than his novels, Tolstoy's stories are essential reading for anyone interested in his development as one of the major writers and thinkers of his time.

As Ivan Ilyich lies dying he begins to re-evaluate his life, searching for meaning that will make sense of his sufferings. In ""The Death of Ivan Ilyich"" and the other works in this volume, Tolstoy conjures characters who, tested to the limit, reveal glorious and unexpected reserves of courage, or baseness of a near inhuman kind. Two vivid parables and ""The Forged Coupon"", a tale of criminality, explore class relations after the emancipation of the serfs in 1861 and the connection between an ethical life and worldly issues. In ""Master and Workman"" Tolstoy creates one of his most gripping dramas about human relationships put to the test in an extreme situation. ""The Death of Ivan Ilyich"" is an existential masterpiece, a biting satire that recounts with extraordinary power the final illness and death of a bourgeois lawyer. In his Introduction Andrew Kahn explores Tolstoy's moral concerns and the stylistic features of these late stories, sensitively translated by Nicolas Pasternak Slater. - Back cover.",translations into english
Alex Cross's Trial,"Separated by timeFrom his grandmother, Alex Cross has heard the story of his great uncle Abraham and his struggles for survival in the era of the Ku Klux Klan. Now, Alex passes the family tale along to his own children in a novel he's written--a novel called Trial.Connected by bloodAs a lawyer in turn-of-the-century Washington D.C., Ben Corbett represents the toughest cases. Fighting against oppression and racism, he risks his family and his life in the process. When President Roosevelt asks Ben to return to his home town to investigate rumors of the resurgence of the Ku Klux Klan there, he cannot refuse. United by braveryWhen he arrives in Eudora, Mississippi, Ben meets the wise Abraham Cross and his beautiful granddaughter, Moody. Ben enlists their help, and the two Crosses introduce him to the hidden side of the idyllic Southern town. Lynchings have become commonplace and residents of the town's black quarter live in constant fear. Ben aims to break the reign of terror--but the truth of who is really behind it could break his heart. Written in the fearless voice of Detective Alex Cross, Alex Cross's Trial is a gripping story of murder, love, and, above all, bravery.",fiction
Kenilworth,"xlvi, 467p. ; 20cm",fiction
The Life and Opinions of Tristram Shandy,"Laurence Sterne's great masterpiece of bawdy humour and rich satire defies any attempt to categorize it. Part novel, part digression, its gloriously disordered narrative interweaves the birth and life of the unfortunate 'hero' Tristram Shandy, the eccentric philosophy of his father Walter, the amours and military obsessions of Uncle Toby, and a host of other characters.",fiction
"M.C. Higgins, The Great","Hamilton’s classic coming-of-age tale: The National Book Award– and Newbery Award–winning novel about a young man who must choose between supporting his tight-knit family and pursuing his own dreams
 

Mayo Cornelius Higgins perches on top of a homemade forty-foot tower, considering two destinies. Behind him is his family’s beloved house at the foot of a mountain that strip mining has reduced to loose rubble. In front of him, the beautiful Ohio River Valley and the great world beyond.
 
As M.C. weighs whether to stay with the family and home he loves or set off into the world on his own, there appear on the horizon two strangers who will make his decision all the more difficult.",children's fiction
Call It Courage,"Mafatu has been afraid of the sea for as long as he can remember. Though his father is the Great Chief of Hikueru - an island whose seafaring people worship courage - Mafatu feels like an outsider. All his life he has been teased, taunted, and even blamed for storms on the sea. 

Then at age fifteen, no longer willing to put up with the ridicule and jibes, Mafatu decides to take his fate into his own hands. With his dog, Uri, as his companion, Mafatu paddles out to sea, ready to face his fears. What he learns on his lonesome adventure will change him forever and make him a hero in the eyes of his people.",survival
Go Set a Watchman,"Maycomb, Alabama. Twenty-six-year-old Jean Louise Finch -- ""Scout"" -- returns home from New York City to visit her aging father, Atticus. Set against the backdrop of the civil rights tensions and political turmoil that were transforming the South, Jean Louise's homecoming turns bittersweet when she learns disturbing truths about her close-knit family, the town and the people dearest to her. Memories from her childhood flood back, and her values and assumptions are thrown into doubt. Featuring many of the iconic characters from To Kill a Mockingbird, Go Set a Watchman perfectly captures a young woman, and a world, in a painful yet necessary transition out of the illusions of the past -- a journey that can be guided only by one's conscience. Written in the mid-1950s, Go Set a Watchman imparts a fuller, richer understanding and appreciation of Harper Lee. Here is an unforgettable novel of wisdom, humanity, passion, humor, and effortless precision -- a profoundly affecting work of art that is both wonderfully evocative of another era and relevant to our own times. It not only confirms the enduring brilliance of To Kill a Mockingbird, but also serves as its essential companion, adding depth, context, and new meaning to an American classic. - Jacket.",adult children of aging parents
Bleachers,Bij het sterfbed van zijn coach maakt de voormalige sterspeler van een American football team de balans op van zijn jeugd.,death
Elijah of Buxton,"Elijah has to go find this former slave that stole a friends money who was planning on buying his family back out of slavery. What happens along the way is terrifying to even think about, friends getting shot, dying, and freeing slaves.",newbery honor
Swimsuit,"THE BEACH...A breathtakingly beautiful supermodel disappears from a swimsuit photo shoot at the most glamorous hotel in Hawaii. Only hours after she goes missing, Kim McDaniels's parents receive a terrifying phone call. Fearing the worst, they board the first flight to Maui and begin the hunt for their daughter....WILL NEVER BE...Ex-cop Ben Hawkins, now a reporter for the L.A. Times, gets the McDaniels assignment. The ineptitude of the local police force defies belief--Ben has to start his own investigation for Kim McDaniels to have a prayer. And for Ben to have the story of his life....THE SAME FOR YOU AGAIN.All the while, the killer sets the stage for his next production. His audience expects the best--and they won't be disappointed. Swimsuit is a heart-pounding story of fear and desire, transporting you to a place where beauty and murder collide and unspeakable horrors are hidden within paradise.",fiction
